amount,time,category,age,location,previous_trans,is_fraud
33.01,21,entertainment,24,Los Angeles,15,0
17.49,8,gas,86,San Diego,24,0
38.39,6,dining,89,Dallas,19,0
92.11,20,groceries,69,Houston,22,0
15.89,23,entertainment,21,Houston,21,0
15.89,14,entertainment,51,Phoenix,15,0
97.44,1,travel,86,Los Angeles,10,1
43.27,22,entertainment,50,San Antonio,14,0
12.56,19,electronics,86,Phoenix,22,0
34.56,11,entertainment,55,Philadelphia,16,0
12.64,0,travel,43,Houston,12,0
12.61,22,dining,18,San Diego,29,0
25.58,21,travel,21,San Diego,16,0
2.96,7,gas,56,Phoenix,21,0
3.58,4,travel,71,Philadelphia,22,0
11.45,14,groceries,50,Chicago,20,0
7.29,0,electronics,50,New York,17,1
27.5,0,groceries,89,Dallas,21,0
8.1,9,dining,37,Dallas,22,0
4.89,21,utilities,33,Chicago,26,0
86.98,9,dining,38,Houston,24,0
16.03,20,electronics,62,San Antonio,18,0
21.49,14,entertainment,79,Los Angeles,23,0
4.83,16,travel,48,Chicago,21,0
11.65,21,utilities,59,Philadelphia,13,0
22.44,5,electronics,29,San Diego,21,0
6.35,2,groceries,82,New York,18,1
29.24,12,travel,90,Houston,16,1
11.02,15,dining,20,New York,16,0
15.0,7,groceries,26,Los Angeles,26,0
11.0,14,electronics,68,San Diego,18,0
128.03,16,electronics,33,Philadelphia,12,0
19.82,16,dining,20,Dallas,23,0
6.97,21,utilities,41,Los Angeles,21,0
45.72,12,dining,90,Chicago,17,0
5.92,16,entertainment,30,Dallas,20,0
24.75,5,groceries,19,Dallas,25,0
2.83,16,utilities,88,Philadelphia,21,0
5.32,15,travel,38,Chicago,17,0
24.46,13,gas,36,Phoenix,17,0
42.03,12,entertainment,64,Los Angeles,27,0
23.84,5,utilities,39,San Antonio,12,0
17.89,2,gas,50,San Jose,15,0
14.86,13,gas,49,San Diego,29,0
4.58,13,groceries,81,Philadelphia,17,0
9.78,14,electronics,56,San Diego,18,0
12.67,7,travel,89,Los Angeles,21,0
57.81,14,dining,59,Chicago,20,0
28.32,21,groceries,26,San Antonio,11,0
3.45,12,entertainment,42,San Jose,23,0
27.77,16,gas,19,New York,23,0
13.67,20,entertainment,36,San Antonio,19,0
10.21,23,gas,37,Philadelphia,19,0
37.03,2,electronics,87,San Diego,18,0
56.32,5,electronics,34,San Antonio,15,0
50.97,4,travel,85,Houston,19,0
8.68,21,dining,20,Chicago,17,0
14.74,16,travel,68,Chicago,17,0
27.97,22,electronics,43,Houston,23,1
53.28,1,electronics,73,Dallas,20,0
12.44,14,entertainment,81,Dallas,17,0
16.68,4,electronics,25,Los Angeles,22,0
6.64,19,utilities,54,Phoenix,19,0
6.07,5,gas,44,New York,25,0
45.26,5,groceries,62,Houston,17,0
77.96,17,electronics,21,Los Angeles,12,0
18.69,17,travel,54,San Diego,21,0
54.79,3,dining,88,Houston,18,1
28.84,16,gas,50,Phoenix,17,0
10.54,13,gas,48,Houston,23,0
28.83,13,dining,72,Phoenix,23,0
93.51,12,dining,29,Phoenix,19,0
19.38,6,gas,28,Phoenix,20,0
96.03,11,utilities,89,Chicago,22,0
1.46,22,travel,49,San Antonio,22,1
45.69,14,utilities,74,Chicago,21,0
21.91,18,electronics,55,Los Angeles,20,0
14.89,10,groceries,77,Chicago,23,0
22.02,14,dining,36,Chicago,15,0
2.75,11,travel,73,San Diego,29,0
16.12,2,dining,31,Houston,20,0
28.71,16,utilities,50,Chicago,24,0
88.05,2,entertainment,27,San Jose,15,0
11.96,18,electronics,81,Phoenix,19,0
8.95,19,groceries,81,Houston,15,0
12.16,3,electronics,79,Dallas,22,0
50.17,2,entertainment,85,San Diego,14,0
27.9,15,groceries,60,San Antonio,12,0
11.83,11,entertainment,76,San Diego,23,0
33.56,7,electronics,69,Phoenix,21,0
22.13,23,utilities,36,Houston,21,0
52.91,16,gas,38,San Antonio,16,0
9.95,6,electronics,39,New York,22,0
14.47,10,electronics,26,Philadelphia,17,0
13.57,17,electronics,26,San Diego,16,0
4.65,0,travel,90,San Antonio,28,1
27.01,2,entertainment,44,Los Angeles,22,0
26.08,3,entertainment,34,San Antonio,20,0
20.19,12,dining,61,Philadelphia,27,0
15.89,5,entertainment,62,Phoenix,13,0
4.88,13,dining,25,Houston,15,0
13.19,4,travel,35,New York,15,0
14.26,15,utilities,50,Los Angeles,22,0
9.0,14,dining,18,San Antonio,18,0
17.09,14,electronics,23,San Jose,16,0
30.09,3,utilities,58,Chicago,15,0
132.45,7,gas,72,Phoenix,19,0
23.92,15,travel,22,San Diego,24,0
25.99,15,entertainment,76,San Diego,17,0
18.64,3,dining,35,Philadelphia,23,0
2.95,12,electronics,66,Phoenix,15,0
19.56,12,groceries,82,Los Angeles,20,0
21.33,1,gas,71,Dallas,24,1
235.86,2,groceries,78,New York,22,1
16.57,21,utilities,25,Los Angeles,14,0
27.15,7,entertainment,20,New York,20,0
19.4,23,groceries,42,Houston,19,0
6.24,14,utilities,86,Houston,17,0
62.98,10,travel,72,Phoenix,19,0
42.6,8,utilities,57,Phoenix,25,0
44.3,6,gas,67,San Diego,22,0
8.09,12,utilities,50,Chicago,21,0
81.68,1,gas,35,Philadelphia,23,0
4.94,7,utilities,74,Chicago,16,0
36.12,6,electronics,33,Los Angeles,20,0
179.55,23,utilities,55,San Diego,17,0
7.46,11,dining,58,New York,17,0
11.4,18,utilities,24,Dallas,19,0
22.19,6,electronics,70,San Antonio,14,0
12.14,9,electronics,80,San Jose,14,1
4.26,15,travel,49,Houston,28,1
21.51,2,gas,55,Chicago,24,0
6.94,9,entertainment,39,Philadelphia,18,0
32.25,5,groceries,33,Dallas,18,0
8.01,17,groceries,69,Dallas,18,0
94.63,17,utilities,46,Houston,17,0
9.18,4,travel,33,San Jose,28,0
14.56,20,utilities,34,Phoenix,15,0
45.31,6,groceries,81,Dallas,25,0
5.87,1,gas,30,Los Angeles,19,0
