amount,time,category,age,location,previous_trans,is_fraud
60.1,9,travel,39,Dallas,16,0
28.05,23,dining,69,San Antonio,11,0
72.04,16,electronics,45,Chicago,15,0
205.95,20,gas,70,San Jose,18,0
25.0,1,gas,80,New York,12,0
25.0,5,groceries,34,Phoenix,18,0
220.31,4,travel,81,Philadelphia,14,0
83.17,3,gas,23,Dallas,8,0
18.85,1,groceries,31,Phoenix,17,0
63.5,11,groceries,34,New York,17,0
18.99,2,utilities,55,Houston,15,0
18.94,5,dining,86,Los Angeles,12,0
44.27,23,groceries,30,Houston,11,0
3.33,13,entertainment,70,San Antonio,14,0
4.18,7,gas,26,Dallas,23,0
16.87,20,groceries,61,Chicago,16,0
9.82,20,travel,43,Chicago,14,0
48.28,13,gas,36,Houston,15,0
11.14,2,gas,65,San Antonio,12,0
6.08,15,entertainment,47,Philadelphia,24,1
192.25,14,groceries,49,Phoenix,17,0
25.26,6,entertainment,86,Houston,11,0
35.91,14,groceries,28,San Diego,24,0
5.99,12,dining,43,Houston,15,0
17.23,5,entertainment,43,Chicago,21,0
37.83,14,electronics,34,San Antonio,15,0
8.32,16,utilities,61,Los Angeles,27,0
51.98,3,entertainment,40,Houston,11,0
16.11,21,travel,42,San Diego,13,0
23.34,21,utilities,54,Houston,17,0
16.09,13,utilities,82,San Jose,21,0
305.74,14,groceries,19,San Antonio,14,0
32.58,11,entertainment,49,Los Angeles,10,0
9.31,18,dining,72,Phoenix,14,0
88.86,21,gas,67,Houston,12,0
7.65,9,utilities,82,Dallas,11,0
42.55,5,travel,49,San Antonio,20,0
3.15,8,dining,54,Dallas,19,0
6.73,1,dining,30,San Jose,20,0
41.94,3,travel,71,San Antonio,12,0
80.33,8,gas,20,Los Angeles,19,0
40.68,14,travel,59,Los Angeles,13,0
28.82,12,groceries,57,Los Angeles,10,0
23.07,19,electronics,83,Phoenix,18,0
5.62,7,gas,77,New York,15,0
13.96,18,entertainment,28,San Antonio,16,0
19.05,18,utilities,18,Los Angeles,12,0
